Country,Score
Mauritius,5.816
South Africa,5.422
Congo (Brazzaville),5.221
Mozambique,5.216
Gabon,5.106
Ivory Coast,5.080
Guinea,5.023
Senegal,4.969
Nigeria,4.881
Cameroon,4.874
Namibia,4.832
Niger,4.556
Burkina Faso,4.548
Mauritania,4.505
Gambia,4.485
Chad,4.471
Kenya,4.470
Benin,4.377
Uganda,4.372
Ghana,4.289
Liberia,4.269
Mali,4.232
Madagascar,4.228
Togo,4.214
Ethiopia,3.861
Tanzania,3.781
Comoros,3.566
Zambia,3.502
Eswatini,3.502
Malawi,3.421
Botswana,3.383
Zimbabwe,3.341
Congo (Kinshasa),3.295
Sierra Leone,3.245
Lesotho,3.186
